,Bill/Action,Good,Good,Bad,Bad,
House,,,,,,
House,"H.Con.Res.38, H.Con.Res.40",Sponsored,,Has not sponsored,, Iran war powers resolution to make clear there is no authorization for U.S. war on Iran.
House,,,,Sponsored,," the Enhanced Iran Sanctions Act, an AIPAC bill to impose more broad sanctions on Iranians."
House,,,,Sponsored,, the MEK bill endorsing Maryam Rajavi's plan for Iran.
House,"H.R.2619, Travel to Iran Amendment",Voted to prevent a ban on (supported Travel to Iran Amendment),,Sponsored legislation to ban,Voted in committee to ban (voted against Travel to Iran Amendment),U.S. travel to Iran.
House,H.R.23,Voted against,,Voted for,,sanctions on the International Criminal Court over its prosecution of Netanyahu
House,,Sponsored,,Has not sponsored,,the Block the Bombs Act to prevent US weapons going to Israel to commit human right violations
House,,Does not take support from,Publicly rejects support from AIPAC and DMFI,Has accepted $[amount] in support from the Israel Lobby since 2022,,
House,,Sponsored,,Has not sponsored,,the No Ban Act to prevent discriminatory travel bans barring certain nationals from entering the U.S.
,,,,,,
Senate,,,,,,
Senate,,Voted in favor of,,Voted against,, Iran war powers resolution to make clear there is no authorization for U.S. war on Iran.
Senate,,,,Sponsored,," the Enhanced Iran Sanctions Act, an AIPAC bill to impose more broad sanctions on Iranians."
Senate,H.R.23,Voted against,,Voted for,,sanctions on the International Criminal Court over its prosecution of Netanyahu
Senate,,,,,,
Senate,,Does not take support from,Publicly rejects support from AIPAC and DMFI,Has accepted $[amount] in support from the Israel Lobby since 2021,,
Senate,,Sponsored,,,,the No War with Iran Act
Senate,,Has led efforts,Voted,Voted against every resolution,,to bar US weapons transfers to Israel
