bioguide_id,full_name,party,state,chamber,dmfi_2024,dmfi_supported_2024,dmfi_2022
W000790,"Warnock, Raphael G.",Democratic,Georgia,SENATE,0.0,1,0.0
W000805,"Warner, Mark R.",Democratic,Virginia,SENATE,0.0,1,0.0
S001203,"Smith, Tina",Democratic,Minnesota,SENATE,0.0,1,0.0
S001181,"Shaheen, Jeanne",Democratic,New Hampshire,SENATE,0.0,1,0.0
R000122,"Reed, Jack",Democratic,Rhode Island,SENATE,0.0,1,0.0
P000145,"Padilla, Alex",Democratic,California,SENATE,0.0,1,0.0
O000174,"Ossoff, Jon",Democratic,Georgia,SENATE,0.0,1,0.0
M001111,"Murray, Patty",Democratic,Washington,SENATE,0.0,1,0.0
K000377,"Kelly, Mark",Democratic,Arizona,SENATE,0.0,1,0.0
K000394,"Kim, Andy",Democratic,New Jersey,SENATE,0.0,1,0.0
H000273,"Hickenlooper, John W.",Democratic,Colorado,SENATE,0.0,1,0.0
F000479,"Fetterman, John",Democratic,Pennsylvania,SENATE,0.0,1,0.0
C001113,"Cortez Masto, Catherine",Democratic,Nevada,SENATE,0.0,1,0.0
B001288,"Booker, Cory A.",Democratic,New Jersey,SENATE,0.0,1,0.0
B001267,"Bennet, Michael F.",Democratic,Colorado,SENATE,0.0,1,0.0
P000621,"Pou, Nellie",Democratic,New Jersey,HOUSE,0.0,1,0.0
M001232,"McClain Delaney, April",Democratic,Maryland,HOUSE,0.0,1,0.0
G000581,"Gonzalez, Vicente",Democratic,Texas,HOUSE,0.0,1,0.0
M001220,"McGarvey, Morgan",Democratic,Kentucky,HOUSE,0.0,1,0.0
H001094,"Hoyle, Val T.",Democratic,Oregon,HOUSE,0.0,1,0.0
F000477,"Foushee, Valerie P.",Democratic,North Carolina,HOUSE,0.0,1,0.0
M001225,"Mullin, Kevin",Democratic,California,HOUSE,0.0,1,0.0
G000598,"Garcia, Robert",Democratic,California,HOUSE,0.0,1,0.0
S001159,"Strickland, Marilyn",Democratic,Washington,HOUSE,0.0,1,0.0
H001090,"Harder, Josh",Democratic,California,HOUSE,0.0,1,0.0
L000582,"Lieu, Ted",Democratic,California,HOUSE,0.0,1,0.0
B001287,"Bera, Ami",Democratic,California,HOUSE,0.0,1,0.0
P000197,"Pelosi, Nancy",Democratic,California,HOUSE,0.0,1,0.0
C001059,"Costa, Jim",Democratic,California,HOUSE,0.0,1,0.0
L000273,"Leger Fernandez, Teresa",Democratic,New Mexico,HOUSE,0.0,1,0.0
A000148,"Auchincloss, Jake",Democratic,Massachusetts,HOUSE,0.0,1,0.0
M000687,"Mfume, Kweisi",Democratic,Maryland,HOUSE,0.0,1,0.0
U000040,"Underwood, Lauren",Democratic,Illinois,HOUSE,0.0,1,0.0
C001117,"Casten, Sean",Democratic,Illinois,HOUSE,0.0,1,0.0
H001081,"Hayes, Jahana",Democratic,Connecticut,HOUSE,0.0,1,0.0
C001121,"Crow, Jason",Democratic,Colorado,HOUSE,0.0,1,0.0
K000391,"Krishnamoorthi, Raja",Democratic,Illinois,HOUSE,0.0,1,0.0
M001196,"Moulton, Seth",Democratic,Massachusetts,HOUSE,0.0,1,0.0
C001101,"Clark, Katherine M.",Democratic,Massachusetts,HOUSE,0.0,1,0.0
D000617,"DelBene, Suzan K.",Democratic,Washington,HOUSE,0.0,1,0.0
W000808,"Wilson, Frederica S.",Democratic,Florida,HOUSE,0.0,1,0.0
C001066,"Castor, Kathy",Democratic,Florida,HOUSE,0.0,1,0.0
N000015,"Neal, Richard E.",Democratic,Massachusetts,HOUSE,0.0,1,0.0
S001157,"Scott, David",Democratic,Georgia,HOUSE,0.0,1,0.0
L000557,"Larson, John B.",Democratic,Connecticut,HOUSE,0.0,1,0.0
S000510,"Smith, Adam",Democratic,Washington,HOUSE,0.0,1,0.0
B000490,"Bishop, Sanford D.",Democratic,Georgia,HOUSE,0.0,1,0.0
