Lawmaker Name,Statement,Link,Date
Sen. Ruben Gallego (D-AZ),“Just in time for another illegal war against Iran. The new Veterans created by this war will get screwed by the Trump administration while the rich get their tax cut.”,https://x.com/RubenGallego/status/2024317827617059158?s=20,"February 18, 2026"
Sen. Tim Kaine (D-VA),“Virginia families have already suffered enough because of wrongheaded forever wars in the Middle East… I have filed a bipartisan resolution to block this war against Iran unless Congress votes to approve it.”,https://x.com/SenTimKaine/status/2024899732259107020?s=20,"February 20, 2026"
Sen. Andy Kim (D-NJ),“The American people do not want to go to war with Iran. This is another dangerous escalation by Trump without a clear plan or consent from Congress. A reminder to the President: you don’t get to unilaterally decide when we go to war.”,https://x.com/SenatorAndyKim/status/2024182415954993210?s=20,"February 18, 2026"
Sen. Ed Markey (D-MA),"“Americans don’t want another endless war in the Middle East. We want health care, not warfare. Trump the wrecking ball must be stopped.”",https://x.com/SenMarkey/status/2024316209756266924?s=20,"February 18, 2026"
Sen. Jeff Merkley (D-OR),“Trump claimed he’d pursue peace… but he’s doing exactly the opposite. No war with Iran.”,https://x.com/SenJeffMerkley/status/2024627457387635083?s=20,"February 19, 2026"
Sen. Jack Reed (D-RI),"“A preemptive attack against Iran at this time would be a strategic misstep, and I am concerned that such recklessness could spark an uncontrolled conflict.”",https://x.com/SenJackReed/status/2024971301123723447?s=20,"February 20, 2026"
Sen. Charles Schumer (D-NY),“We must enforce the War Powers Act and compel this administration to consult with Congress and explain to the American people the objectives and exactly why he is risking more American lives.”,https://x.com/AndrewDesiderio/status/2024977386178039986?s=20,"February 20, 2026"
Sen. Chris Van Hollen (D-MD),"“Again, the 'No New Wars' president seems to be on the verge of attacking another country. Trump may’ve told Netanyahu about his plans, but only Congress has the power to declare war. Dragging us into another destabilizing war in the Middle East is what Trump pledged NOT to do.”",https://x.com/ChrisVanHollen/status/2024284459626094964?s=20,"February 18, 2026"
Sen. Elizabeth Warren (D-MA),"“The American people voted for lower prices, not another war in the Middle East. But Trump is itching to go to war with Iran. The Constitution is clear: the president doesn't have the authority to start a war without Congress' approval. I won't support another endless war.”",https://x.com/SenWarren/status/2024570464400457834?s=20,"February 19, 2026"
Rep. Ami Bera (D-CA),"“The American people do not want to be pulled into another prolonged conflict in the Middle East. I strongly support the people of Iran who are fighting for freedom and a better future. That said, the Administration must come to Congress before taking action that puts American lives on the line.”",https://x.com/RepBera/status/2024622174431302060?s=20,"February 19, 2026"
Rep. Don Beyer (D-VA),“Trump is threatening to take America to war with Iran unless they make a deal like the one he tore up in 2017 to give up the nuclear weapons program he claimed to have ‘completely and totally’ obliterated a few months ago. No war with Iran.”,https://x.com/RepDonBeyer/status/2024295248680063485,"February 18, 2026"
Rep. Greg Casar (D-TX),"“The American people do not want a war with Iran. My entire adult life, politicians have been sending other people’s kids — our U.S. troops — to die in reckless, endless wars. Enough.”",https://x.com/RepCasar/status/2024250736121397301?s=20,"February 18, 2026"
Rep. Joaquin Castro (D-TX),"“Americans are struggling to pay for rent, childcare, and healthcare. Instead of addressing the issues at home, what is Donald Trump giving us? Yet another war in the Middle East.”",https://x.com/JoaquinCastrotx/status/2024599305152036953?s=20,"February 19, 2026"
Rep. Katherine Clark (D-MA),"“The American people want lower costs, access to health care, and safer communities — not another war. But Trump is moving closer to a war in the Middle East, without congressional approval and regard for working families’ needs. This is not ‘America First.’”",https://x.com/WhipKClark/status/2024510338679333358?s=20,"February 19, 2026"
Rep. James E. Clyburn (D-SC),"“As Americans live paycheck to paycheck, Trump is preparing the U.S. for a costly potential war with Iran. We had a deal limiting Iran’s nuclear program. Trump tore it up in 2018 and is now threatening military action without Congressional approval.”",https://x.com/RepJamesClyburn/status/2024602926795100408?s=20,"February 19, 2026"
Rep. Jason Crow (D-CO),“Americans don’t want to be pulled into more conflict in the Middle East. No more endless wars. No more blank checks from Congress.”,https://x.com/RepJasonCrow/status/2024544960733991355?s=20,"February 19, 2026"
Rep. Dwight Evans (D-PA),"“I strongly oppose Trump’s dangerous escalations against Iran. The Constitution is clear - Congress, not the president, has the authority to declare war. I will support Rep. Khanna’s discharge petition to bring a bipartisan War Powers Resolution to the House floor and rein Trump in.”",https://x.com/RepDwightEvans/status/2024605577888837960?s=20,"February 19, 2026"
Rep. Valerie Foushee (D-NC),“Trump's threats of strikes on Iran are not acceptable. Congress must stop him before we are launched into another disastrous war. I am a cosponsor of @RepRoKhanna and @RepThomasMassie’s War Powers Resolution and will support the discharge petition to prevent Trump from putting servicemembers in harm's way.”,https://x.com/ValerieFoushee/status/2024559111426220366,"February 19, 2026"
Rep. Pramila Jayapal (D-WA),“NOT without authorization from Congress. The American people do not want another war.”,https://x.com/RepJayapal/status/2024293720443465978?s=20,"February 18, 2026"
Rep. Hakeem Jeffries (D-NY),“Republicans are plotting to get our country into another costly and failed war in the Middle East. Meanwhile. They haven’t done a damn thing to make your life more affordable. Why won’t they focus on the country’s most pressing problems?”,https://x.com/RepJeffries/status/2025940681009541438?s=20,"February 23, 2026"
Rep. Hank Johnson (D-GA),"“While families across this country are struggling with rising costs and fearing for their safety within our borders, the last thing Americans need is another reckless war. Military strikes on Iran would put lives at risk, destabilize the region, and drain taxpayer dollars that are vital here at home. My position has not changed: No War in Iran.”",https://x.com/RepHankJohnson/status/2024921044234948736?s=20,"February 20, 2026"
Rep. Ro Khanna (D-CA),“Trump officials say there's a 90% chance of strikes on Iran. He can’t without Congress. @RepThomasMassie & I have a War Powers Resolution to debate & vote on war before putting U.S. troops in harm’s way. I will make a motion to discharge to force a vote on it next week.”,https://x.com/RoKhanna/status/2024259912197460101?s=20,"February 18, 2026"
