bioguide_id,full_name,aipac_direct_amount_2022,aipac_earmark_amount_2022,aipac_ie_support_2022,aipac_ie_against_opp_2022,aipac_ie_total_2022,aipac_total_2022,dmfi_direct_2022,dmfi_earmark_2022,dmfi_ie_support_2022,dmfi_ie_against_opp_2022,dmfi_ie_total_2022,dmfi_total_2022,aipac_supported_2022,dmfi_supported_2022
A000055,"Aderholt, Robert B.",7900.0,52750.0,0.0,0.0,0.0,60650.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
A000148,"Auchincloss, Jake",10000.0,92900.0,0.0,0.0,0.0,102900.0,2000.0,0.0,0.0,0.0,0.0,2000.0,1,1
A000369,"Amodei, Mark E.",7900.0,0.0,0.0,0.0,0.0,7900.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
A000370,"Adams, Alma S.",7900.0,0.0,0.0,0.0,0.0,7900.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
A000371,"Aguilar, Pete",7900.0,93900.0,0.0,0.0,0.0,101800.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
A000372,"Allen, Rick W.",10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
A000375,"Arrington, Jodey C.",7900.0,10400.0,0.0,0.0,0.0,18300.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
A000379,"Alford, Mark",5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
A000380,"Amo, Gabe",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A000381,"Ansari, Yassamin",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
A000382,"Alsobrooks, Angela D.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
B000490,"Bishop, Sanford D.",7900.0,13300.0,0.0,0.0,0.0,21200.0,2000.0,0.0,0.0,0.0,0.0,2000.0,1,1
B000668,"Bentz, Cliff",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
B000740,"Bice, Stephanie I.",10000.0,13400.0,0.0,0.0,0.0,23400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
B000825,"Boebert, Lauren",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
B001230,"Baldwin, Tammy",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
B001236,"Boozman, John",7900.0,0.0,0.0,0.0,0.0,7900.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
B001243,"Blackburn, Marsha",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
B001257,"Bilirakis, Gus M.",10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
B001260,"Buchanan, Vern",10000.0,30050.0,0.0,0.0,0.0,40050.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
B001261,"Barrasso, John",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
B001267,"Bennet, Michael F.",10000.0,106850.0,0.0,0.0,0.0,116850.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
B001277,"Blumenthal, Richard",7900.0,140113.0,0.0,0.0,0.0,148013.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
B001278,"Bonamici, Suzanne",5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
B001281,"Beatty, Joyce",2100.0,0.0,0.0,0.0,0.0,2100.0,2000.0,0.0,0.0,0.0,0.0,2000.0,1,1
B001282,"Barr, Andy",2100.0,11200.0,0.0,0.0,0.0,13300.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
B001285,"Brownley, Julia",7900.0,13100.0,0.0,0.0,0.0,21000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
B001287,"Bera, Ami",7900.0,25450.0,0.0,0.0,0.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
B001288,"Booker, Cory A.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
B001291,"Babin, Brian",7900.0,5000.0,0.0,0.0,0.0,12900.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
