column,type,bill_number,display_name,categories,action_types,short_title,notes,sponsor_bioguide_id,sponsor_name,position_to_score,preferred,pair_key,chamber,description,analysis,points,introduced_date,congress_url,learn_more_link,no_cosponsor_benefit,vote_tallies,vote_date
119.H.Amdt.55 — Blocking weapons to Israel Amendment,BILL,119.H.Amdt.55,Blocking weapons to Israel Amendment (119.H.Amdt.55),Israel-Gaza,vote,Blocking weapons to Israel Amendment,,G000596,"Greene, Marjorie Taylor",SUPPORT,,,HOUSE,Would have struck $500 million in proposed military assistance for Israel from annual defense spending bill.,Amendment to annual defense appropriations bill would have struck in its entirety a section providing more than $500 million in proposed addtional military assistance to Israel. The amendment failed 6-422 in a vote on 7/10/25.,3,,,,0,"Failed House (6-422), July 18, 2025",
H.Con.Res.38 — Iran War Powers Resolution (Preferred),BILL,H.Con.Res.38,Iran War Powers Resolution (Preferred) (H.Con.Res.38),Iran,cosponsor,Iran War Powers Resolution (Preferred),,M001184,"Massie, Thomas",SUPPORT,true,pair_1:H.Con.Res.38|H.Con.Res.40,HOUSE,The key House resolution opposing unauthorized war with Iran.,"A War Powers Resolution is a tool Congress uses to prevent the President from taking the country into war without congressional approval. Because the Constitution gives Congress—not the President—the power to declare war, this legislation is essential for stopping unauthorized U.S. involvement in a conflict with Iran. This is especially important after the Trump administration’s June 21, 2025 strikes on Iranian nuclear facilities during the 12-day war between Iran and Israel. The bill also sends a strong message within Congress and to the public that there is no military solution to Iran’s nuclear issue.",5,2025-06-17,https://www.congress.gov/bill/119th-congress/house-concurrent-resolution/38,,0,,
H.Con.Res.40 — Iran War Powers Resolution,BILL,H.Con.Res.40,Iran War Powers Resolution (H.Con.Res.40),Iran,cosponsor,Iran War Powers Resolution,,M001137,"Meeks, Gregory W.",SUPPORT,false,pair_1:H.Con.Res.38|H.Con.Res.40,HOUSE,"A helpful House resolution opposing war with Iran, though introduced after the Massie-Khanna resolution.","A War Powers Resolution is a tool Congress uses to prevent the President from taking the country into war without congressional approval. This resolution, drafted after the 12-day war between Iran and Israel, aims to reassert Congress’s authority and prevent the U.S. from being pulled into a war with Iran. Unlike the Massie-Khanna version, it includes an exception allowing U.S. forces to ‘defend the United States or an ally or partner.’ The concern is that this broad exception could be used to justify U.S. involvement in military actions triggered by Israel—even when no real or imminent threat exists—similar to the circumstances that led to Israel’s initial bombing of Iran in June 2025.”",4,2025-06-23,https://www.congress.gov/bill/119th-congress/house-concurrent-resolution/40,,0,,
H.R.1422 — Enhanced Iran Sanctions Act,BILL,H.R.1422,Enhanced Iran Sanctions Act (H.R.1422),Iran,cosponsor,Enhanced Iran Sanctions Act,,L000599,"Lawler, Michael",OPPOSE,,,HOUSE,Doubles down on failed maximum pressure policies that primarily hurt ordinary Iranian civilians.,"This bill would impose new sanctions on actors with minimal connection to trade related to Iranian oil. Critically, the bill would offer minimal discretion to the President on sanctions policy, and would require an act of Congress to halt after 2029, making it significantly more difficult for a future administration to use existing leverage to conduct diplomacy or sustain any agreement struck in the coming years.",5,2025-02-18,https://www.congress.gov/bill/119th-congress/house-bill/1422,,1,,
H.R.1576 — Alien Land Law House Bill,BILL,H.R.1576,Alien Land Law House Bill (H.R.1576),Civil Rights & Immigration,cosponsor,Alien Land Law House Bill,,N000189,"Newhouse, Dan",OPPOSE,,,HOUSE,Discriminatory bill would seek to restrict the ability of Iranian nationals and other groups from purchasing agricultural property.,"Pushes to ban agricultural transactions involving foreign nationals of China, North Korea, Russia and Iran.",4,2025-02-25,https://www.congress.gov/bill/119th-congress/house-bill/1576,,1,,
H.R.23 — Sanctions Against ICC,BILL,H.R.23,Sanctions Against ICC (H.R.23),Israel-Gaza,vote,Sanctions Against ICC,,R000614,"Roy, Chip",OPPOSE,,,,"Would impose sanctions on the International Criminal Court for engaging in efforts to investigate, arrest, detain, or prosecute any protected person of the United States and its allies.""","On November 21, 2024, the International Criminal Court (ICC) issued arrest warrants for Israeli Prime Minister Benjamin Netanyahu and former Defense Minister Yoav Gallant for alleged war crimes committed in Gaza. In response, this bill seeks to impose sanctions, blocking the enforcement of international law and the pursuit of justice for Gaza’s humanitarian crisis. By undermining human rights and international law to the benefit of one state, this bill essentially undermines human rights for all.",4,2025-01-03,https://www.congress.gov/bill/119th-congress/house-bill/23,,0,"Passed House (242-138), January 09, 2025 | Failed Senate (54-45, 3/5 majority required), January 28, 2025",
H.R.2619 — Travel to Iran Ban,BILL,H.R.2619,Travel to Iran Ban (H.R.2619),Civil Rights & Immigration,cosponsor,Travel to Iran Ban,,B001322,"Baumgartner, Michael",OPPOSE,,,HOUSE,Threatens the right of Iranian Americans and others to travel to Iran to visit family and friends.,"Directs the State Department to consider criminalizing travel to Iran on a U.S. passport, which could be punished with years in jail. While many Iranians who travel to Iran do so on an Iranian passport, such as step could represent a slippery slope to harsher restrictions and harassment of community members.",5,2025-04-03,https://www.congress.gov/bill/119th-congress/house-bill/2619,,1,,
H.R.3565 — Block the Bombs Act,BILL,H.R.3565,Block the Bombs Act (H.R.3565),Israel-Gaza,cosponsor,Block the Bombs Act,,R000617,"Ramirez, Delia C.",SUPPORT,,,HOUSE,Key House legislation to block the sale of weaponry to Israel that would be used in war crimes.,"Prohibits the sale, transfer or export to Israel of various offensive weapons systems, barring satisfactory written assurances that such weapons systems would be used in line with U.S. and international human rights law.",5,2025-05-21,https://www.congress.gov/bill/119th-congress/house-bill/3565,https://niacouncil.org/can-congress-block-the-bombs/,0,,
H.R.630 — Neighbors Not Enemies Act,BILL,H.R.630,Neighbors Not Enemies Act (H.R.630),Civil Rights & Immigration,cosponsor,Neighbors Not Enemies Act,,O000173,"Omar, Ilhan",SUPPORT,,,HOUSE,Repeals an old law that could be abused to arrest and dep foreign nationals from adversarial nations.,"Repeals the Alien Enemies Act of 1798, which is an old law that empowers the President to detain and deport foreign nationals during wartime or amid ""imminent"" threat, which the current administration has sought to use in justification of its arrests and deportations of foreign nationals.",2,2025-01-22,https://www.congress.gov/bill/119th-congress/house-bill/630,,0,,
H.R.924 — NO BAN Act,BILL,H.R.924,NO BAN Act (H.R.924),Civil Rights & Immigration,cosponsor,NO BAN Act,,C001080,"Chu, Judy",SUPPORT,,,HOUSE,Bill would overturn the travel ban and guard against future discriminatory bans.,Would terminate President Trump's travel ban and make it far more difficult for any administration to impose bans based on national origin in the future.,4,2025-02-04,https://www.congress.gov/bill/119th-congress/house-bill/924,,0,,
